,,,,,,,,,,,,,,,,,,,,,,
,WI Irrigation Scheduler (WIS),,,,,,,Sheet 4,,,,Field/Soil ID,Field / Soil No.,TAW (in),PWP (in/in),,,,,,,
,Developed by John Panuska, UWEX-BSE & John Norman, UW Soil Science,,,,,,,,,,,Sandy,1,1.92,0.07,  << Soils Input Data,,,,,,
,Start Date     = ,,5/30/2011,Emergence date for annuals; begin growth for perennials.,,,,,,,,Loam,2,6.12,0.14,,,,,,,
,Managed root,,,,,,,,,,,S. Loam,3,4.32,0.09,,,,,,,
,zone depth (in) =,,36.0,     Field or Soil No.  =,,3, ← [ Enter Field / Soil No. ] ,,,,,XX,4,0.00,#N/A,,,,,,,
,,,,,,,,,,,,XX,5,0.00,#N/A,,,,,,,
,,TAW (in) =,4.32,PWP (in/in)=,0.09,Fc (in/in) = ,0.21,Fc (%) =>,21,,,XX,6,0.00,#N/A,,,,,,,
,,,,,,,,,,,,XX,7,0.00,#N/A,,,,,,,
,,   MAD    =,0.50,RAW (in) =,2.16,,% moisture @ RAW = 0,,15,,,XX,8,0.00,#N/A,,,,,,,
,,Annual Totals = >  ,,28.55,0.00,22.03,,,,,17.24,     ↑  Soils data will be copied to the other sheets.,,,,,,,,,,
,Day,Growing Season Date,ref_et,rain,irrigation,adj_et,Storage Change (in/day),ad,Predicted Soil Moisture,Observed Soil Moisture,Deep Drainage Volume,observed soil moisture from sensors to adjust model predictions.,,,,,,,LAI,Crop Coeff,,RAW at Field Capacity
,1,05/30/11, ----, ----, ----, ----, ----,2.16,21,, ----, ← (Initial water content assumed to equal field capacity),,,,,,,0.0,0.000,,2.16
,2,05/31/11,0.23,0.00,0.00,0.00,0.00,2.16,21,,0.00,,,,,,,,0.0,0.000,,2.16
,3,06/01/11,0.23,0.00,0.00,0.00,0.00,2.16,21,,0.00,,,= User Inputs,,,,,0.0,0.000,,2.16
,4,06/02/11,0.12,0.38,0.00,0.00,0.38,2.16,21,,0.38,,,,,,,,0.0,0.000,,2.16
,5,06/03/11,0.20,0.00,0.00,0.00,0.00,2.16,21,,0.00,,,,,,,,0.0,0.000,,2.16
,6,06/04/11,0.11,0.71,0.00,0.00,0.71,2.16,21,,0.71,,,,,,,,0.0,0.000,,2.16
,7,06/05/11,0.11,0.66,0.00,0.00,0.66,2.16,21,,0.66,,,,,,,,0.0,0.000,,2.16
,8,06/06/11,0.20,0.00,0.00,0.00,0.00,2.16,21,,0.00,,,,,,,,0.0,0.000,,2.16
,9,06/07/11,0.17,0.00,0.00,0.00,0.00,2.16,21,,0.00,,,,,,,,0.0,0.000,,2.16
,10,06/08/11,0.02,0.55,0.00,0.00,0.55,2.16,21,,0.55,,,,,,,,0.0,0.000,,2.16
,11,06/09/11,0.25,0.01,0.00,0.00,0.01,2.16,21,,0.01,,,,,,,,0.0,0.001,,2.16
,12,06/10/11,0.14,0.08,0.00,0.00,0.08,2.16,21,,0.08,,,,,,,,0.0,0.002,,2.16
,13,06/11/11,0.09,1.05,0.00,0.00,1.05,2.16,21,,1.05,,,,,,,,0.0,0.003,,2.16
,14,06/12/11,0.05,0.00,0.00,0.00,0.00,2.16,21,,0.00,,,,,,,,0.0,0.005,,2.16
,15,06/13/11,0.08,0.02,0.00,0.00,0.02,2.16,21,,0.02,,,,,,,,0.0,0.007,,2.16
,16,06/14/11,0.07,0.02,0.00,0.00,0.02,2.16,21,,0.02,,,,,,,,0.0,0.011,,2.16
,17,06/15/11,0.06,0.73,0.00,0.00,0.73,2.16,21,,0.73,,,,,,,,0.0,0.016,,2.16
,18,06/16/11,0.20,0.00,0.00,0.00,0.00,2.16,21,,0.00,,,,,,,,0.0,0.023,,2.16
,19,06/17/11,0.28,0.19,0.00,0.01,0.18,2.16,21,,0.18,,,,,,,,0.0,0.032,,2.16
,20,06/18/11,0.24,0.07,0.00,0.01,0.06,2.16,21,,0.06,,,,,,,,0.0,0.043,,2.16
,21,06/19/11,0.21,0.00,0.00,0.01,-0.01,2.15,21,,0.00,,,,,,,,0.0,0.058,,2.16
,22,06/20/11,0.23,0.00,0.00,0.02,-0.02,2.13,21,,0.00,,,,,,,,0.0,0.075,,2.16
,23,06/21/11,0.14,0.08,0.00,0.01,0.07,2.16,21,,0.04,,,,,,,,0.1,0.095,,2.16
,24,06/22/11,0.29,0.01,0.00,0.03,-0.02,2.14,21,,0.00,,,,,,,,0.1,0.119,,2.16
,25,06/23/11,0.21,0.31,0.00,0.03,0.28,2.16,21,,0.25,,,,,,,,0.1,0.147,,2.16
,26,06/24/11,0.27,0.00,0.00,0.05,-0.05,2.11,21,,0.00,,,,,,,,0.1,0.179,,2.16
,27,06/25/11,0.23,0.39,0.00,0.05,0.34,2.16,21,,0.29,,,,,,,,0.1,0.215,,2.16
,28,06/26/11,0.27,0.05,0.00,0.07,-0.02,2.14,21,,0.00,,,,,,,,0.2,0.254,,2.16
,29,06/27/11,0.22,1.84,0.00,0.07,1.77,2.16,21,,1.76,,,,,,,,0.2,0.296,,2.16
,30,06/28/11,0.19,0.00,0.00,0.06,-0.06,2.10,21,,0.00,,,,,,,,0.2,0.342,,2.16
,31,06/29/11,0.25,0.00,0.00,0.10,-0.10,2.00,21,,0.00,,,,,,,,0.3,0.389,,2.16
,32,06/30/11,0.25,0.00,0.00,0.11,-0.11,1.89,20,,0.00,,,,,,,,0.3,0.439,,2.16
,33,07/01/11,0.26,0.00,0.00,0.13,-0.13,1.76,20,,0.00,,,,,,,,0.4,0.489,,2.16
,34,07/02/11,0.28,0.00,0.00,0.15,-0.15,1.61,19,,0.00,,,,,,,,0.4,0.540,,2.16
,35,07/03/11,0.29,0.00,0.00,0.17,-0.17,1.44,19,,0.00,,,,,,,,0.5,0.590,,2.16
,36,07/04/11,0.16,0.48,0.00,0.10,0.38,1.82,20,,0.00,,,,,,,,0.6,0.639,,2.16
